Time Step,Objective
1024,1969567.9529371858
1025,2206982.648840315
1026,2482312.882513642
1027,2414614.4684444778
1028,2320774.9088894404
1029,2329019.9095955216
1030,2353753.2640703176
1031,2224971.4797045016
1032,2098514.0805584635
1033,2021249.3692214359
1034,2012805.5242425231
1035,1960902.2544596188
1036,1974571.349200434
1037,2051178.053306965
1038,2389411.9113103985
1039,2634778.9200798003
1040,2606595.047196094
1041,2399697.7050300287
1042,2230013.806544643
1043,2181738.0310692876
1044,2175234.9668809823
1045,2135576.3158806562
1046,2137919.419417076
1047,2186251.569622805
1048,2233031.2737574033
1049,2381287.7911903625
1050,2556029.429261045
1051,2462715.1649872283
1052,2350208.2510053674
1053,2388453.519770856
1054,2282113.3695896687
1055,2056531.6508451058
1056,1943556.8611497057
1057,1946000.1958566476
1058,1925398.8570434654
1059,1960484.3526534392
1060,1968588.0243508725
1061,2059144.1775005339
1062,2341700.0132523766
1063,2551960.5051838495
1064,2605196.038885339
1065,2607527.857230432
1066,2591750.5943738427
1067,2582068.496222785
1068,2548566.92932469
1069,2558626.095127332
1070,2555689.650343101
1071,2591340.703658203
1072,2635317.841165089
1073,2722735.862274413
1074,2903403.222760526
1075,2787639.754006048
1076,2629396.343767918
1077,2546372.3680759915
1078,2312675.4786167843
1079,2044921.2682936557
1080,1851645.4605690814
1081,1723064.0447968286
1082,1636477.7576313633
1083,1624456.6934188874
1084,1633524.1317104667
1085,1683552.2940338347
1086,2025104.0284425656
1087,2274637.4746697657
1088,2320077.652532033
1089,2168467.8827178963
1090,2087210.3294046645
1091,2073956.050923007
1092,2056121.7544880032
1093,2024950.3540263367
1094,1984330.9705662446
1095,2046468.6898802135
1096,2093354.6254291455
1097,2243404.176884882
1098,2529548.467399428
1099,2490309.5439812
1100,2347797.986602726
1101,2317044.1981227463
1102,2161164.7725406247
1103,1937205.1055237062
1104,1768266.4605190333
1105,1735050.5383249405
1106,1699018.08203605
1107,1710057.7781831662
1108,1758238.528544787
1109,1815075.3479777724
1110,2146747.677241769
1111,2291585.937221822
1112,2301677.6553540593
1113,2114552.397687684
1114,1967300.0451506246
1115,1911294.4150713703
1116,1930479.952467149
1117,1998788.9695001617
1118,2043381.024446859
1119,2111791.179739262
1120,2168465.66585987
1121,2290464.15771877
1122,2425215.7314465144
1123,2342723.639110891
1124,2206005.8383440976
1125,2162847.320614253
1126,2053652.2242364173
1127,1829199.4163650097
1128,1680936.214179918
1129,1616048.5976974946
1130,1612458.4795927387
1131,1627051.0170541485
1132,1674319.794184332
1133,1757431.5898454026
1134,1982032.1213431377
