Time Step,Import/Export_1,Import/Export_2,Import/Export_3
2490,-986.17065,-994.2583599999998,-828.59265
2491,-993.7694000000001,-995.0315000000005,-251.0266300000003
2492,-990.6414000000004,-994.7073399999995,-58.47108500000013
2493,-990.4606299999996,-994.3363600000007,21.377086999999847
2494,-989.8558299999995,-993.2392000000004,-488.9537
2495,-1000.0,-990.6561000000002,-831.91833
2496,-1000.0,-989.336,-849.9985999999999
2497,-1000.0,-987.6919599999999,-857.6342
2498,-1000.0,-987.6266999999998,-854.2067999999999
2499,-1000.0,-988.1824300000005,-864.9368
2500,-1000.0,-989.0678,-875.4682599999999
2501,-1000.0,-989.85077,-884.1294000000003
2502,-1000.0,-990.9917000000003,-876.2677000000001
2503,-1000.0,-990.3377700000001,-924.0115000000001
2504,-1000.0,-987.9862700000001,-1000.0
2505,-908.6253699999997,-983.47974,-958.4245600000004
2506,-856.2945,-988.5960000000001,-939.4295999999995
2507,-819.7471000000005,-991.4190999999998,-917.0249599999997
2508,-797.4310000000005,-993.0179400000002,-899.3589999999999
2509,-788.9313399999992,-993.9194300000001,-901.06104
2510,-796.9580999999998,-993.7755999999999,-898.3700999999999
2511,-837.5126,-989.7872299999999,-886.4151
2512,-889.1584999999995,-983.5063,-865.8893
2513,-994.4728400000004,-980.1434000000002,-982.2807599999999
2514,-1000.0,-986.2644,-1000.0
2515,-1000.0,-990.0363000000002,-980.2319
2516,-1000.0,-990.1205399999999,-928.6494
2517,-1000.0,-990.6900000000003,-876.49927
2518,-1000.0,-990.7613000000001,-899.33905
2519,-1000.0,-990.8453399999999,-924.5719
2520,-977.6503000000002,-987.0334500000006,-859.4505599999997
2521,-911.2361499999997,-984.2443000000001,-774.3855600000002
2522,-891.3049300000002,-984.0968000000003,-747.6010000000001
2523,-891.6440999999995,-984.9739400000001,-746.3360000000002
2524,-917.64185,-987.4776999999995,-774.4019000000003
2525,-918.4889499999999,-988.0877700000001,-771.9426000000003
2526,-894.6062000000002,-986.9570299999998,-739.53357
2527,-918.8733000000002,-987.3741500000001,-764.7749999999996
2528,-973.5519399999994,-985.3150600000001,-925.7152000000006
2529,-914.2672999999995,-982.9630999999999,-953.40906
2530,-876.2075999999997,-985.6885399999999,-922.3006000000005
2531,-883.6470000000008,-988.7838999999999,-958.0979599999991
2532,-871.4187000000002,-992.3243,-972.8106000000025
2533,-851.7278999999999,-991.5938000000001,-939.2188999999998
2534,-846.4444000000003,-984.9875499999998,-880.1023000000005
2535,-909.1614399999999,-981.2526000000003,-928.2178000000004
2536,-989.2204000000002,-983.40247,-979.14624
2537,-1000.0,-987.9181499999997,-936.0194000000001
2538,-995.3518999999997,-990.2751000000001,-737.6096000000002
2539,-977.9850500000002,-989.2072000000001,-446.16854999999987
2540,-975.4574000000002,-988.7095299999999,-389.73223999999993
2541,-977.78845,-989.1984000000002,-368.0861
2542,-978.2133000000003,-989.4795499999998,-359.68948
2543,-938.7448999999997,-988.1003000000001,-670.9575999999997
2544,-901.9731000000011,-985.1255000000001,-673.8813
2545,-878.0865999999996,-983.2152000000001,-675.7856400000001
2546,-868.7268699999995,-982.53955,-673.1816399999998
2547,-870.9528,-982.9214999999999,-664.1101699999999
2548,-891.8234999999995,-985.0783999999999,-655.1304
2549,-942.8231999999998,-988.2725000000003,-435.0835000000002
2550,-958.3806999999997,-990.1896999999994,715.3948399999999
2551,-968.8543000000009,-993.499,971.5317999999997
2552,-993.3741500000006,-995.5522000000001,726.9685
2553,-972.6112700000003,-993.6299999999999,68.01664999999957
2554,-945.1767999999993,-991.5471,-653.9532999999992
2555,-970.3699300000007,-992.5951999999999,-956.9838
2556,-985.8359400000008,-993.9175399999997,-1000.0
2557,-986.4662499999995,-997.6551000000002,-1000.0
2558,-960.1049999999996,-996.6864600000001,-1000.0
2559,-953.6863400000002,-993.0756000000001,-1000.0
2560,-989.0177999999996,-991.3204300000002,-1000.0
2561,-979.4146000000001,-994.5138500000003,-899.4242999999997
2562,-979.4510499999988,-996.6722000000002,104.07293000000004
2563,-977.7940699999999,-997.3697999999995,615.8816000000002
2564,-976.6259,-997.5168000000003,719.3564500000002
2565,-975.2821999999996,-997.30817,806.53107
2566,-979.1731,-996.1722,576.1869999999999
2567,-975.9048000000003,-991.65173,164.13522000000012
2568,-975.1943000000001,-990.4526000000001,18.3916099999999
2569,-985.9542000000001,-991.72705,176.01119999999992
2570,-1000.0,-993.1424,166.14496999999983
2571,-1000.0,-993.6570000000006,343.30430000000024
2572,-1000.0,-994.0801000000001,506.3276400000002
2573,-1000.0,-994.2922400000002,783.0997000000002
2574,-979.7194000000009,-996.0173299999999,1000.0
2575,-990.8484499999986,-996.3618999999999,1000.0
2576,-996.5983999999999,-996.56,143.57888999999977
2577,-991.1802399999997,-991.0876500000002,-989.1500000000015
2578,-991.1401399999995,-999.322,-1000.0
2579,-979.2754999999997,-1000.0,-1000.0
2580,-955.6455999999998,-1000.0,-1000.0
2581,-935.1451400000005,-1000.0,-1000.0
2582,-922.6093999999994,-1000.0,-1000.0
2583,-931.2823000000008,-998.5765,-1000.0
2584,-956.0692999999992,-992.7444999999999,-1000.0
2585,-981.1175000000003,-990.47217,-904.7890599999992
2586,-990.1639400000004,-994.8317,432.04303000000004
2587,-983.2535399999997,-997.0988,1000.0
2588,-985.3648700000003,-996.9087000000002,1000.0
2589,-984.8626999999997,-996.7097000000001,1000.0
2590,-980.8769499999999,-994.6146000000001,836.6869000000002
2591,-1000.0,-994.6186999999998,71.03419499999995
2592,-1000.0,-995.2484999999999,-442.76666
