,Timestep,Line,Actual,Predicted
323,2185,55->119,999.99994,988.4872
324,2185,89->120,918.3073,901.0569
325,2186,37->65,-436.0367,-545.3015
326,2186,49->68,-121.58392,-104.568184
327,2186,37->39,-852.45526,-1170.3938
328,2186,47->68,-4.1187515,82.022736
329,2186,25->47,-340.41083,-382.17398
330,2186,65->68,-747.321,-715.159
331,2186,83->25,1358.417,1297.2681
332,2186,24->25,1440.5543,1561.4473
333,2186,47->73,-124.8607,-91.452805
334,2186,47->72,133.39383,162.4003
335,2186,9->10,1000.0,1036.2698
336,2186,55->119,999.99994,987.2565
337,2186,89->120,831.2982,896.26263
338,2187,37->65,-447.0964,-545.85065
339,2187,49->68,-129.83125,-98.3419
340,2187,37->39,-852.0656,-1177.9841
341,2187,47->68,9.776242,97.49536
342,2187,25->47,-348.3664,-385.83194
343,2187,65->68,-801.69495,-682.8171
344,2187,83->25,1442.34,1277.0414
345,2187,24->25,1443.9371,1555.8671
346,2187,47->73,-104.94996,-69.75416
347,2187,47->72,144.54427,171.2704
348,2187,9->10,1000.0,1042.7751
349,2187,55->119,999.99994,985.20917
350,2187,89->120,263.4413,882.2767
351,2188,37->65,-441.60367,-539.748
352,2188,49->68,-122.79887,-90.464
353,2188,37->39,-823.22156,-1153.7678
354,2188,47->68,76.60771,134.6087
355,2188,25->47,-373.53357,-387.1583
356,2188,65->68,-770.0866,-639.5553
357,2188,83->25,1373.5045,1229.0775
358,2188,24->25,1417.1687,1530.1725
359,2188,47->73,-46.024517,-37.874893
360,2188,47->72,190.45326,183.87656
361,2188,9->10,1000.0,1060.4836
362,2188,55->119,999.99994,982.8765
363,2188,89->120,181.57625,850.86395
364,2189,37->65,-428.05896,-532.7814
365,2189,49->68,-108.641914,-81.25706
366,2189,37->39,-792.67065,-1146.5068
367,2189,47->68,145.41838,154.24667
368,2189,25->47,-397.28036,-387.15118
369,2189,65->68,-693.7575,-585.52
370,2189,83->25,1243.4879,1173.6486
371,2189,24->25,1374.9147,1517.9916
372,2189,47->73,14.6352415,-16.75031
373,2189,47->72,238.44153,186.18939
374,2189,9->10,1000.0,1067.8779
375,2189,55->119,999.99994,980.9217
376,2189,89->120,356.82477,844.59827
377,2190,37->65,-397.9429,-519.7181
378,2190,49->68,-96.68199,-68.0179
379,2190,37->39,-716.87775,-1141.3008
380,2190,47->68,187.66396,166.4021
381,2190,25->47,-338.93845,-387.21024
382,2190,65->68,-619.8653,-506.54953
383,2190,83->25,977.66656,1096.917
384,2190,24->25,1102.4645,1490.3002
385,2190,47->73,27.929474,4.8547645
386,2190,47->72,222.71445,189.3662
387,2190,9->10,1000.0,1067.8381
388,2190,55->119,999.99994,978.412
389,2190,89->120,689.6042,852.37195
390,2191,37->65,-393.19998,-503.43744
391,2191,49->68,-81.00457,-45.272266
392,2191,37->39,-711.3999,-1135.7533
393,2191,47->68,232.68526,184.57637
394,2191,25->47,-279.11133,-394.31284
395,2191,65->68,-540.6767,-382.765
396,2191,83->25,702.6574,1004.8464
397,2191,24->25,821.2186,1441.5226
398,2191,47->73,38.526062,47.143246
399,2191,47->72,206.74582,214.18132
400,2191,9->10,1000.0,1076.1608
401,2191,55->119,999.99994,978.4152
402,2191,89->120,1000.0,826.4219
403,2192,37->65,-424.6826,-501.33304
404,2192,49->68,-69.0648,-15.766859
405,2192,37->39,-834.3616,-1192.068
406,2192,47->68,229.04521,197.8184
407,2192,25->47,-305.2868,-404.26108
408,2192,65->68,-493.15115,-230.99544
409,2192,83->25,724.9333,901.52386
410,2192,24->25,896.8724,1378.4197
411,2192,47->73,47.986576,88.262115
412,2192,47->72,225.87427,253.0643
413,2192,9->10,1000.0,1075.612
414,2192,55->119,999.99994,984.4473
415,2192,89->120,1000.0,902.35876
416,2193,37->65,-496.61514,-572.53326
417,2193,49->68,-31.567606,-4.7807155
418,2193,37->39,-1168.2782,-1475.8716
419,2193,47->68,164.6008,129.43987
420,2193,25->47,-469.81332,-413.3719
421,2193,65->68,-324.8913,-210.88203
422,2193,83->25,1029.5073,1001.1318
423,2193,24->25,1459.8795,1387.7931
424,2193,47->73,90.24558,58.37299
425,2193,47->72,325.31842,275.9075
426,2193,9->10,1000.0,1064.4736
427,2193,55->119,999.99994,989.5946
428,2193,89->120,1000.0,908.1575
429,2194,37->65,-651.3299,-627.99335
430,2194,49->68,11.939373,5.8879027
431,2194,37->39,-1791.7906,-1713.1582
432,2194,47->68,-43.089745,-3.5548773
433,2194,25->47,-505.5886,-412.71973
434,2194,65->68,-168.69463,-188.51682
435,2194,83->25,1295.6616,1114.1685
436,2194,24->25,1787.2872,1456.2914
437,2194,47->73,7.191947,-13.204903
438,2194,47->72,290.59683,270.3238
439,2194,9->10,1000.0,1094.1528
440,2194,55->119,999.99994,1001.39264
441,2194,89->120,1000.0,898.6783
442,2195,37->65,-717.62415,-674.1149
443,2195,49->68,87.94148,36.364254
444,2195,37->39,-2229.7976,-1976.155
445,2195,47->68,-227.86873,-110.40995
446,2195,25->47,-497.61975,-427.8265
447,2195,65->68,200.01526,-88.46494
448,2195,83->25,1250.2625,1155.2979
449,2195,24->25,1877.0581,1580.1382
450,2195,47->73,-56.17753,-109.7765
451,2195,47->72,252.99805,235.0069
452,2195,9->10,1000.0,1076.0242
453,2195,55->119,999.99994,1014.5108
454,2195,89->120,1000.0,925.9297
455,2196,37->65,-684.2196,-693.16095
456,2196,49->68,74.261536,63.208652
457,2196,37->39,-2046.0895,-2121.0315
458,2196,47->68,-175.47096,-158.55925
459,2196,25->47,-482.34213,-435.55264
460,2196,65->68,81.693565,4.0926037
461,2196,83->25,1179.8112,1231.763
462,2196,24->25,1868.9209,1669.3191
463,2196,47->73,-91.99472,-152.14821
464,2196,47->72,230.89642,216.72862
465,2196,9->10,1000.0,1073.4923
466,2196,55->119,999.99994,1027.7572
467,2196,89->120,1000.0,1002.3041
468,2197,37->65,-685.7456,-698.05743
469,2197,49->68,84.76309,73.80472
470,2197,37->39,-2052.4668,-2179.9705
471,2197,47->68,-147.64406,-191.8683
472,2197,25->47,-485.3085,-440.73676
473,2197,65->68,114.64082,47.94654
474,2197,83->25,1081.5726,1369.8011
475,2197,24->25,1868.5591,1714.2906
476,2197,47->73,-94.00619,-145.1328
477,2197,47->72,235.43747,235.9124
478,2197,9->10,1000.0,1089.0452
479,2197,55->119,999.99994,1036.8267
480,2197,89->120,1000.0,1065.4857
481,2198,37->65,-675.05676,-704.0278
482,2198,49->68,71.55464,88.909676
483,2198,37->39,-1973.7188,-2256.525
484,2198,47->68,-145.46164,-231.18845
485,2198,25->47,-474.1627,-437.38876
486,2198,65->68,35.84055,114.918884
487,2198,83->25,1116.5156,1504.053
488,2198,24->25,1862.3052,1736.503
489,2198,47->73,-109.4459,-124.898415
