,Timestep,Line,Actual,Predicted
558,2203,89->120,1000.0,992.04865
559,2204,37->65,-199.30438,-265.88895
560,2204,49->68,-31.934113,-42.092545
561,2204,37->39,-35.463905,-225.5096
562,2204,47->68,252.07181,247.31488
563,2204,25->47,-246.73654,-299.48373
564,2204,65->68,-282.9934,-393.6912
565,2204,83->25,413.55652,499.28253
566,2204,24->25,701.2558,948.00275
567,2204,47->73,48.72308,42.60478
568,2204,47->72,177.49521,179.04274
569,2204,9->10,1000.0,1035.6266
570,2204,55->119,999.99994,991.1349
571,2204,89->120,1000.0,1040.8558
572,2205,37->65,-178.25261,-246.60175
573,2205,49->68,-20.248186,-38.33296
574,2205,37->39,7.001076,-170.18137
575,2205,47->68,269.1421,257.19077
576,2205,25->47,-239.65884,-282.08688
577,2205,65->68,-212.52885,-348.32446
578,2205,83->25,307.42874,452.83228
579,2205,24->25,669.72644,946.8307
580,2205,47->73,66.5039,44.753254
581,2205,47->72,171.10886,150.62859
582,2205,9->10,1000.0,1021.6841
583,2205,55->119,999.99994,991.9523
584,2205,89->120,1000.0,982.4114
585,2206,37->65,-138.7834,-222.29002
586,2206,49->68,3.019574,-27.571705
587,2206,37->39,61.566605,-127.65108
588,2206,47->68,250.63994,270.60876
589,2206,25->47,-233.5364,-272.0126
590,2206,65->68,-69.21274,-273.996
591,2206,83->25,253.00009,354.58133
592,2206,24->25,402.573,891.92535
593,2206,47->73,133.03304,60.440956
594,2206,47->72,250.60507,148.74855
595,2206,9->10,1000.0,1019.8257
596,2206,55->119,999.99994,991.4505
597,2206,89->120,1000.0,947.4955
598,2207,37->65,-134.7083,-196.94955
599,2207,49->68,15.869424,-8.7753525
600,2207,37->39,36.511353,-83.13316
601,2207,47->68,250.91183,278.4088
602,2207,25->47,-246.33215,-268.42368
603,2207,65->68,2.254067,-187.32205
604,2207,83->25,218.95564,240.30539
605,2207,24->25,411.58838,787.3549
606,2207,47->73,158.4159,97.65409
607,2207,47->72,267.76498,183.80565
608,2207,9->10,1000.0,1057.911
609,2207,55->119,999.99994,991.0079
610,2207,89->120,1000.0,1000.01
611,2208,37->65,-129.53119,-182.63008
612,2208,49->68,25.444462,-2.5188303
613,2208,37->39,25.091589,-60.6171
614,2208,47->68,252.29047,272.35678
615,2208,25->47,-253.5563,-259.96213
616,2208,65->68,56.67825,-146.39429
617,2208,83->25,186.46997,202.75299
618,2208,24->25,408.97437,712.67804
619,2208,47->73,176.71825,111.84061
620,2208,47->72,279.538,187.08942
621,2208,9->10,1000.0,1033.5184
622,2208,55->119,999.99994,989.55853
623,2208,89->120,1000.0,974.35547
624,2209,37->65,-121.66435,-185.29785
625,2209,49->68,31.6609,-1.0286709
626,2209,37->39,33.018856,-84.80006
627,2209,47->68,255.65216,262.6591
628,2209,25->47,-253.37982,-259.0748
629,2209,65->68,94.24994,-130.53664
630,2209,83->25,150.57095,203.08673
631,2209,24->25,387.51944,690.44196
632,2209,47->73,187.53806,112.73259
633,2209,47->72,285.0716,188.41768
634,2209,9->10,1000.0,993.83136
635,2209,55->119,999.99994,987.6883
636,2209,89->120,1000.0,915.5662
637,2210,37->65,-107.74189,-182.85844
638,2210,49->68,36.551792,2.2188523
639,2210,37->39,65.47431,-86.664955
640,2210,47->68,262.28372,263.47055
641,2210,25->47,-244.61238,-258.89484
642,2210,65->68,127.72049,-109.98233
643,2210,83->25,97.45969,184.91597
644,2210,24->25,334.79767,683.2015
645,2210,47->73,195.01352,117.69953
646,2210,47->72,285.89456,187.74274
647,2210,9->10,1000.0,983.8834
648,2210,55->119,999.99994,987.5736
649,2210,89->120,1000.0,897.5644
650,2211,37->65,-114.88495,-175.70605
651,2211,49->68,33.242878,7.447069
652,2211,37->39,66.14527,-72.725815
653,2211,47->68,296.98663,273.08557
654,2211,25->47,-242.15565,-260.27576
655,2211,65->68,106.89614,-80.538345
656,2211,83->25,10.424697,145.20694
657,2211,24->25,508.41263,684.89215
658,2211,47->73,163.99937,128.33493
659,2211,47->72,217.38512,186.8702
660,2211,9->10,1000.0,992.425
661,2211,55->119,999.99994,988.6401
662,2211,89->120,1000.0,904.75275
663,2212,37->65,-130.85223,-170.45546
664,2212,49->68,20.396982,9.116126
665,2212,37->39,73.580696,-44.227795
666,2212,47->68,348.72934,293.32486
667,2212,25->47,-233.02931,-258.68478
668,2212,65->68,30.85179,-61.547886
669,2212,83->25,-99.5211,115.28204
670,2212,24->25,784.7993,741.5302
671,2212,47->73,104.29214,127.85058
672,2212,47->72,100.289185,166.8877
673,2212,9->10,1000.0,1036.2349
674,2212,55->119,999.99994,991.4156
675,2212,89->120,1000.0,924.9617
676,2213,37->65,-247.14754,-179.26009
677,2213,49->68,-46.594414,3.760595
678,2213,37->39,-149.7164,-53.85914
679,2213,47->68,262.67584,320.93826
680,2213,25->47,-260.18573,-252.4306
681,2213,65->68,-374.41534,-68.14212
682,2213,83->25,450.1365,121.3462
683,2213,24->25,1052.1323,885.4421
684,2213,47->73,55.574783,95.51102
685,2213,47->72,68.94453,109.99839
686,2213,9->10,1000.0,1037.665
687,2213,55->119,999.99994,994.1469
688,2213,89->120,6.030202,837.29114
