,1,2,3,Import/Export_1,Import/Export_2,Import/Export_3
1929,940.0924053225647,1656.1493513592868,2282.988482781544,2154.4823867797727,626.5622338516747,489.006
1930,916.4040368045145,1654.1566473575483,1745.42949463581,2294.8811117256714,592.8325274032186,322.5285
1931,892.2878604748466,1734.9149423553745,1364.6062389939063,2295.0082774629564,549.1514554697692,221.63400000000001
1932,819.3929914352439,1859.2949994780388,1129.5587050469535,2216.8032743514063,531.6220852544587,166.19400000000002
1933,779.9102775109469,3023.911735210955,1030.4920717057455,1967.12440721113,516.3192866463683,138.15900000000002
1934,734.8261292653501,3969.8603653218843,910.3969973648298,1624.1701539378791,466.2895516528928,119.66850000000001
1935,688.9958592838377,3802.636281948676,740.739756740686,1150.5378842258517,356.66805578512424,98.78399999999999
1936,561.3968450734652,2524.601059841237,455.69021415769015,762.3177113844401,198.14911586559373,80.4825
1937,392.2351737763939,696.1954936167901,333.9668689698201,427.588722949611,47.951375217485854,95.44500000000001
1938,356.09244,122.56979999999999,378.92443650000007,394.152,26.470499999999998,93.492
1939,335.1744,97.1433,380.6725515,397.91400000000004,33.2055,85.932
1940,279.17538,59.3553,413.1583724999999,402.072,47.889,105.90299999999999
1941,238.1742,39.4362,631.1522460000001,371.514,91.53599999999999,155.8935
1942,198.08382,33.466499999999996,956.8155479999998,332.178,141.0405,229.572
1943,150.84366,37.6473,1207.0093065,310.464,190.65,288.16200000000003
1944,116.40024,46.1697,1340.8385669999998,316.074,221.418,323.82
1945,96.04386,55.4961,1344.0057359999998,349.60200000000003,218.94449999999998,325.71000000000004
1946,88.02882,67.0737,1313.969484,381.87600000000003,233.3745,315.1575
1947,84.61331999999999,64.521,1238.754516,349.33799999999997,225.2685,333.207
1948,80.454,56.842800000000004,1157.5494855,307.824,203.95350000000002,368.77049999999997
1949,76.0518,51.9786,1097.6663865,278.652,186.339,380.457
1950,94.47759515228184,240.3311434971725,990.6922478701104,449.19174026941937,175.04207258590696,370.566
1951,185.41424180013612,2391.2430229665088,1107.7580289422524,959.8948953225583,271.50429366028726,555.6284999999999
1952,347.9145496020239,4800.84140705742,1441.8589918286125,1505.7078608612796,390.318615648108,752.1885
1953,472.81965865524984,6393.197480284903,1731.109145320837,1828.2594320476342,476.2752212374942,789.9885
1954,540.3102647815513,7306.857388147015,1958.549853356066,1848.3810858963477,520.5796603958242,792.0045
1955,568.0384205663134,7389.863523020875,2143.8979148609415,1792.9356337740267,574.1827785450196,799.5015
1956,563.7891642736207,6598.680336407132,2219.1415535617534,1616.2537204289622,616.077150554589,811.6605000000001
1957,528.0880487243357,5839.892536167902,2175.6848429888573,1458.6458070839017,629.8038193236187,805.8960000000001
1958,475.6905143154615,4980.054264180073,1967.7796106100416,1145.219827983722,566.6238294910829,762.8670000000001
1959,398.39314779215704,3867.5496128207856,1612.9078705799188,852.40740809216,471.5642313505875,675.8955000000001
1960,274.40755096428944,2263.3246648434106,1125.1192467604171,435.7775465281862,316.70179404088725,717.6959999999999
1961,137.98168245596963,548.7984829926053,834.039423204643,152.00931615104727,160.56178218790777,843.003
1962,117.96378,24.4014,701.7702615,199.188,110.004,937.4715
1963,129.4854,19.3362,583.8170385,247.962,92.5245,968.9084999999999
1964,122.47224,14.9544,504.97618950000003,294.69,81.2595,955.7415000000001
1965,117.14406,17.0247,444.9965595,319.44,69.2085,905.6564999999999
1966,115.94484,20.3613,393.98206500000003,354.882,60.56400000000001,845.019
1967,114.65454,24.2406,346.7177204999999,420.88199999999995,56.082,782.334
1968,114.89742,28.9038,290.429763,515.856,56.98800000000001,723.3345
1969,114.79115999999999,34.129799999999996,241.52356349999997,595.98,64.7205,661.689
1970,114.15360000000001,43.3155,189.09429300000005,707.322,73.245,605.682
1971,104.83307999999998,48.70230000000001,161.08874550000002,733.4580000000001,83.71199999999999,534.1455
1972,91.68719999999999,52.4409,144.720462,801.768,97.6545,472.3425
1973,81.54696,55.9383,125.6556585,918.7199999999999,109.5165,404.334
1974,92.55456450131362,238.29628137233544,147.24989198618692,1206.6876578412923,120.77752713136148,266.427
1975,135.0984432499757,1699.1255207263976,277.59161078496754,1923.3082114736058,194.40680953675502,242.8965
1976,210.9792404242483,3504.762549075687,498.6375678349399,2865.8428413109486,302.42968198129654,379.9215
1977,273.5013830787196,5416.826974423661,650.2927589342431,3533.466616454216,407.53020171813824,474.831
1978,290.5195756271287,5896.138252604399,733.9649334404543,3911.496027245359,439.917221400609,480.0915
1979,289.27964497616006,6029.767567040021,772.1150212548464,4143.82127341448,411.87159275772075,455.99399999999997
1980,284.33048457915703,5187.008831926921,710.6948009677894,4115.006826634229,328.35203740756873,409.4685
1981,275.6256366060135,4043.008181568069,617.5055963703437,3787.6099948362653,215.04030665506724,356.58
1982,265.46349431156915,2457.611470465422,506.5972045854327,3519.6002752324325,173.4185211505005,284.25600000000003
1983,250.18569201712566,1405.963104480212,347.191699112884,3109.839367229442,148.761422629404,199.899
1984,210.4627799766469,684.5050653653765,168.38638387632048,2772.4799606651104,91.81562472814274,196.749
1985,161.62542880412573,202.68895612222676,49.930216047707525,2791.888426348893,16.08205768812525,234.297
1986,127.61826000000002,12.5826,47.380092,2814.504,0.585,281.673
1987,123.50448,16.8639,93.559101,3042.732,1.305,317.89799999999997
1988,118.8594,21.2256,197.37832949999995,3436.686,2.565,334.215
1989,118.28256,24.7431,304.78493699999996,3868.194,5.67,307.7865
1990,135.48149999999998,35.9991,391.0491165,3835.458,8.415,270.3015
1991,168.05778,53.96849999999999,458.98737900000003,3835.854,9.7425,244.28249999999997
1992,207.04002000000003,84.0381,530.4237690000001,3726.2279999999996,11.925,219.7755
1993,243.06216,116.5599,609.3157469999999,3882.912,18.243,189.2205
1994,275.25894,146.2275,744.7868625000001,4351.248,32.4465,156.3975
1995,288.82986,152.3178,826.657329,4666.86,49.405499999999996,144.36450000000002
1996,290.42376,141.8055,932.9065649999999,4835.82,62.4795,154.791
1997,287.44848,128.9013,1073.1275369999998,4827.966,68.121,153.909
1998,298.1701921144303,218.01748437364068,1105.1295096459662,4772.320770269659,76.08596911700738,103.2885
1999,331.8659522020045,626.8219208677682,1204.3399749782936,4799.911740269419,85.34615088081772,95.60249999999999
2000,429.48315411306805,994.7089214876033,1732.8912364690655,4821.552261258408,109.07510151152678,156.429
2001,513.711793258733,1184.182653360156,2248.3595222715044,4898.708570071092,145.65246259243125,210.70350000000002
2002,534.3039364950861,1515.3282559808638,2605.52758571985,5070.324839783124,171.21486287516328,257.544
2003,547.9555858441182,1724.0526752283643,2787.740608455369,5191.553084836983,189.03807954545474,289.98900000000003
2004,563.38490497616,1846.8663343518976,2767.216675022056,5285.253921095989,191.634694432362,308.9205
2005,583.6205369290651,2016.039767224876,2584.0313008977373,5206.840057067263,203.84602642453274,345.6495
2006,588.9716913243163,1688.9758666050484,2287.0981117031924,4900.806609171755,232.972903436277,412.77599999999995
2007,555.4038390113844,1597.8844191061357,1952.6005274210677,4162.673806024535,213.8975550782949,564.669
2008,454.4553691777756,1073.0437341126576,1946.2952933030758,3316.4121048557745,174.76900478468903,865.3365
2009,321.32342072005446,450.0721899956501,2129.60068797899,2926.596821816517,140.92800978686384,1177.092
2010,256.4661,103.9773,2210.9813175,2580.732,144.0255,1339.821
2011,243.88188000000002,71.4555,2183.1567915000005,2329.074,154.3905,1402.9155
2012,228.03395999999998,49.0038,2102.2114079999997,2150.676,165.438,1405.4355
2013,219.45726000000002,44.6622,2086.80012,2172.654,223.764,1383.732
2014,221.15741999999997,34.2906,2176.3256189999997,2251.524,270.636,1355.004
2015,226.44006,22.8135,2205.4631805,2238.984,255.0765,1299.186
2016,240.61818,21.8286,2107.4788335,2124.54,199.8975,1237.761
2017,262.70507999999995,35.355900000000005,1954.2977984999998,1985.874,135.6495,1203.2055
2018,291.59262,65.3451,1775.5610264999998,1825.164,90.6345,1180.431
2019,316.26012,89.3043,1427.2303275,1542.4199999999998,75.57000000000001,1153.2465
2020,355.81919999999997,126.4893,1088.5534874999998,1354.2540000000001,99.2925,1096.3575
2021,405.24528,198.18599999999998,840.7400565,1239.942,159.987,988.4385000000001
2022,471.65091775615457,482.7773434971724,702.5400127405109,1347.2154127874326,285.5091975859069,836.4825000000001
2023,574.939437968279,1779.8530792301033,693.5626683637843,1707.1160468515866,509.752009243149,727.965
2024,734.8942205487981,3380.45806908438,791.5934157944287,2123.373657138599,738.544132013919,707.3325
2025,913.4442486095161,4151.280451076556,908.5679912407435,2286.8354962749245,1005.4063357981732,682.8254999999999
2026,1041.4763230923418,4208.856870704653,1078.3154796620424,2253.898602245959,1209.3879907568503,665.28
2027,1117.0304169796634,3502.4582880926496,1291.2338105755084,2131.024649566005,1308.129297411918,633.1500000000001
2028,1132.090572441374,2720.81482973032,1463.303007594022,2084.551772210052,1377.1117183558065,566.5905
